datePk;dateId;dateYear;dateYearISO;dateMonthYear;dateWeekYearISO;dateQuarterYear;dateMonth;dateDay;dateDaySuffix;dateWeekDay;dateWeekDayName;dateWeekDayNameShort;dateWeekDayNameFirstLetter;dateDayOfYear;dateWeekOfMonth;dateWeekOfYear;dateWeekOfYearISO;dateMonthName;dateMonthNameShort;dateMonthNameFirstLetter;dateQuarter;dateQuarterName;dateQuarterShort;dateIsWeekend;dateIsHolidayInd;dateWeekDayStartsMonday;dateWeekDayNamePL;dateMonthNamePL;dateWeekOfYearStartsMonday;firstDayWorkBefore;firstDayWorkAfter;firstDayNoHolidayNoSaturdayAfter;firstDayNoHolidayNoSundayAfter;firstDayNoHolidayNoSaturdayAfterData;firstDayNoSaturdayNoHolidayOrSundayHolidayName;firstDayNoSaturdayNoHolidayOrSundayHolidayIsHoliday;firstDayNoSaturdayNoHolidayOrSundayHoliday;isThuHolyday;isFriHolyday;isSatHolyday;isWeekendParcelServiceBreakInd;courierBillingPeriodDateFk;courierBillingPeriodStartDateFk;courierBillingPeriodEndDateFk;xlsDate;dwhDateFrom;dwhDateTo;dwhCurrRec;dwhAuditCd;dwhAuditCp;dwhAuditMd;dwhAuditMp
20231025;2023-10-25;2023;2023;10.2023;T43-2023;Q4-2023;10;25;th;4;Wednesday;WED;W;298;4;43;43;October;OCT;O;4;Fourth;Qtr 4;0;0;3;Środa;Październik;44;20231024;20231026;20231026;20231026;20231026;THU;0;20231026;0;0;0;0;20231016;20231016;20231031;45224;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20230222;2023-02-22;2023;2023;02.2023;T8-2023;Q1-2023;2;22;nd;4;Wednesday;WED;W;53;4;8;8;February;FEB;F;1;First;Qtr 1;0;0;3;Środa;Luty;9;20230221;20230223;20230223;20230223;20230223;THU;0;20230223;0;0;0;0;20230216;20230216;20230228;44979;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20230224;2023-02-24;2023;2023;02.2023;T8-2023;Q1-2023;2;24;th;6;Friday;FRI;F;55;4;8;8;February;FEB;F;1;First;Qtr 1;0;0;5;Piątek;Luty;9;20230223;20230227;20230226;20230225;20230226;SUN;0;20230226;0;0;0;0;20230216;20230216;20230228;44981;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20230528;2023-05-28;2023;2023;05.2023;T21-2023;Q2-2023;5;28;th;1;Sunday;SUN;S;148;5;22;21;May;MAY;M;2;Second;Qtr 2;1;1;7;Niedziela;Maj;22;20230526;20230529;20230529;20230529;20230529;MON;0;20230529;0;0;0;0;20230516;20230516;20230531;45074;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20230425;2023-04-25;2023;2023;04.2023;T17-2023;Q2-2023;4;25;th;3;Tuesday;TUE;T;115;5;17;17;April;APR;A;2;Second;Qtr 2;0;0;2;Wtorek;Kwiecień;18;20230424;20230426;20230426;20230426;20230426;WED;0;20230426;0;0;0;0;20230416;20230416;20230430;45041;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20230409;2023-04-09;2023;2023;04.2023;T14-2023;Q2-2023;4;9;th;1;Sunday;SUN;S;99;3;15;14;April;APR;A;2;Second;Qtr 2;1;1;7;Niedziela;Kwiecień;15;20230407;20230411;20230411;20230411;20230411;TUE;0;20230411;0;0;0;0;20230401;20230401;20230415;45025;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20200125;2020-01-25;2020;2020;01.2020;T4-2020;Q1-2020;1;25;th;7;Saturday;SAT;S;25;4;4;4;January;JAN;J;1;First;Qtr 1;1;0;6;Sobota;Styczeń;4;20200124;20200127;20200126;20200127;20200126;SUN;0;20200126;0;0;0;NULL;20200116;20200116;20200131;43855;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20200923;2020-09-23;2020;2020;09.2020;T39-2020;Q3-2020;9;23;rd;4;Wednesday;WED;W;267;4;39;39;September;SEP;S;3;Third;Qtr 3;0;0;3;Środa;Wrzesień;39;20200922;20200924;20200924;20200924;20200924;THU;0;20200924;0;0;0;NULL;20200916;20200916;20200930;44097;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20230302;2023-03-02;2023;2023;03.2023;T9-2023;Q1-2023;3;2;nd;5;Thursday;THU;T;61;1;9;9;March;MAR;M;1;First;Qtr 1;0;0;4;Czwartek;Marzec;10;20230301;20230303;20230303;20230303;20230303;FRI;0;20230303;0;0;0;0;20230301;20230301;20230315;44987;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20230908;2023-09-08;2023;2023;09.2023;T36-2023;Q3-2023;9;8;th;6;Friday;FRI;F;251;2;36;36;September;SEP;S;3;Third;Qtr 3;0;0;5;Piątek;Wrzesień;37;20230907;20230911;20230910;20230909;20230910;SUN;0;20230910;0;0;0;0;20230901;20230901;20230915;45177;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20231112;2023-11-12;2023;2023;11.2023;T45-2023;Q4-2023;11;12;th;1;Sunday;SUN;S;316;3;46;45;November;NOV;N;4;Fourth;Qtr 4;1;0;7;Niedziela;Listopad;46;20231110;20231113;20231113;20231113;20231113;MON;0;20231113;0;0;0;0;20231101;20231101;20231115;45242;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20231226;2023-12-26;2023;2023;12.2023;T52-2023;Q4-2023;12;26;th;3;Tuesday;TUE;T;360;5;52;52;December;DEC;D;4;Fourth;Qtr 4;0;1;2;Wtorek;Grudzień;53;20231222;20231227;20231227;20231227;20231227;WED;0;20231227;0;0;0;0;20231216;20231216;20231231;45286;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20220908;2022-09-08;2022;2022;09.2022;T36-2022;Q3-2022;9;8;th;5;Thursday;THU;T;251;2;37;36;September;SEP;S;3;Third;Qtr 3;0;0;4;Czwartek;Wrzesień;37;20220907;20220909;20220909;20220909;20220909;FRI;0;20220909;0;0;0;0;20220901;20220901;20220915;44812;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20221027;2022-10-27;2022;2022;10.2022;T43-2022;Q4-2022;10;27;th;5;Thursday;THU;T;300;5;44;43;October;OCT;O;4;Fourth;Qtr 4;0;0;4;Czwartek;Październik;44;20221026;20221028;20221028;20221028;20221028;FRI;0;20221028;0;0;0;0;20221016;20221016;20221031;44861;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20220105;2022-01-05;2022;2022;01.2022;T1-2022;Q1-2022;1;5;th;4;Wednesday;WED;W;5;2;2;1;January;JAN;J;1;First;Qtr 1;0;0;3;Środa;Styczeń;2;20220104;20220107;20220107;20220107;20220107;FRI;0;20220107;1;0;0;0;20220101;20220101;20220115;44566;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20220502;2022-05-02;2022;2022;05.2022;T18-2022;Q2-2022;5;2;nd;2;Monday;MON;M;122;1;19;18;May;MAY;M;2;Second;Qtr 2;0;0;1;Poniedziałek;Maj;19;20220429;20220504;20220504;20220504;20220504;WED;0;20220504;0;0;0;0;20220501;20220501;20220515;44683;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20220416;2022-04-16;2022;2022;04.2022;T15-2022;Q2-2022;4;16;th;7;Saturday;SAT;S;106;3;16;15;April;APR;A;2;Second;Qtr 2;1;0;6;Sobota;Kwiecień;16;20220415;20220419;20220419;20220419;20220419;SUN;1;20220417;0;0;0;0;20220416;20220416;20220430;44667;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20220516;2022-05-16;2022;2022;05.2022;T20-2022;Q2-2022;5;16;th;2;Monday;MON;M;136;3;21;20;May;MAY;M;2;Second;Qtr 2;0;0;1;Poniedziałek;Maj;21;20220513;20220517;20220517;20220517;20220517;TUE;0;20220517;0;0;0;0;20220516;20220516;20220531;44697;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
20220526;2022-05-26;2022;2022;05.2022;T21-2022;Q2-2022;5;26;th;5;Thursday;THU;T;146;4;22;21;May;MAY;M;2;Second;Qtr 2;0;0;4;Czwartek;Maj;22;20220525;20220527;20220527;20220527;20220527;FRI;0;20220527;0;0;0;0;20220516;20220516;20220531;44707;1900-01-01;9999-12-31;1;2020-07-03 13:51:15.673;1904719;2020-07-03 13:51:15.673;1904719
